accommodation_distribution,accommodation_keywords,overview_distribution,overview_keywords,objective_distribution,objective_keywords,lp_accommodation
"{'predictable, structured, and consistent learning environment': 0.014933024, 'communication and speech with peers': 0.024421325, 'repeated cues to stay on task': 0.18741469, 'incorporating accessibility into the learning environment': 0.015064326, 'quiet work environment': 0.549562, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.02205393, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.02697137, 'language, vocabulary, and grammar related learning issues': 0.015217936, 'assignment/testing alternatives and assistance': 0.019754276, 'alternate modalities for syntehesizing reading and writing material': 0.011483268, 'social emotion issues': 0.017928096, 'occupational therapy and fine motor': 0.0701151}","['written cues', 'providing verbal', 'planning', 'organization', 'assist']","{'student participation and problem solving': 0.24868931, 'asking questions to the class': 0.40371275, 'measurement': 0.13704151, '': 0.031323135, 'small group discussion and class review': 0.13179334}","['different containers based', 'maximum amount', 'maximum amount', 'students together', 'students', 'students', 'students', 'students', 'water', 'today']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.0116516305, 'operations with whole numbers and basic geometry concepts': 0.10892808, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.027727367, 'understanding fractions, decimals, and operations involving these concepts': 0.67893165, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.12502459, 'solving word problems related to volume': 0.01861368}","['different containers based', 'students', 'container', 'compare', 'capacity', 'attributes', 'able']","

Modification: Create a system for the student to track their assignments and tasks associated with the lesson. Incorporate visual cues, such as pictures or diagrams, to help the student stay organized and on task. Provide extra verbal cues and allow the student to work in a quiet environment or with minimal distractions. Use manipulatives and picture cues to help understand concepts related to the lesson, such as fractions, decimals and operations involving these concepts. Provide assignment/testing alternatives and assistance to the student in order to maximize their learning outcome."
"{'predictable, structured, and consistent learning environment': 0.014933489, 'communication and speech with peers': 0.024438208, 'incorporating accessibility into the learning environment': 0.015064286, 'quiet work environment': 0.01008135, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.21698917, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.2165204, 'language, vocabulary, and grammar related learning issues': 0.0152184, 'assignment/testing alternatives and assistance': 0.019754801, 'alternate modalities for syntehesizing reading and writing material': 0.011483567, 'social emotion issues': 0.017929664, 'occupational therapy and fine motor': 0.40499094}","['sensory tools', 'maintain concentration', 'use', 'student', 'fidget', 'allowing']","{'geometric problem solving': 0.06417278, 'student participation and problem solving': 0.2561428, 'understanding graphing and relating to real world examples': 0.057774983, 'comparing numbers and objects': 0.13037433, 'number sense': 0.07012221, 'asking questions to the class': 0.031262245, 'story problems and building physical models to represent': 0.055440586, 'small group discussion and class review': 0.2740491}","['solve story problems', 'quarter represent', 'many cents', 'count money', 'money', 'today', 'students', 'student', 'reviewing', 'review']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.011650123, 'operations with whole numbers and basic geometry concepts': 0.48794532, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.029330336, 'understanding fractions, decimals, and operations involving these concepts': 0.07334773, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.07721697, 'developing strategies for counting, order of operations, and grouping items for multiplication': 0.14108117, 'solving word problems related to volume': 0.01861126, 'ord problems related to measurement concepts (temperature, time, shape)': 0.14161626}","['solve story problems', 'counting money', 'students', 'able']","

My modification to the lesson plan for this student would be to provide more sensory tools for them to use during the lesson, and to break up their work into shorter intervals to help maintain their concentration. Additionally, I would consider allowing them to fidget with something like a fidget spinner while they are working in order to increase their focus."
"{'predictable, structured, and consistent learning environment': 0.01819608, 'communication and speech with peers': 0.02980386, 'incorporating accessibility into the learning environment': 0.018355342, 'quiet work environment': 0.0122837955, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.026883189, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.032895938, 'language, vocabulary, and grammar related learning issues': 0.018543223, 'assignment/testing alternatives and assistance': 0.46297657, 'alternate modalities for syntehesizing reading and writing material': 0.013992352, 'social emotion issues': 0.021848362, 'occupational therapy and fine motor': 0.30450445}","['take frequent breaks', 'avoid fatigue', 'writing', 'student', 'reading', 'allowing']","{'student participation and problem solving': 0.42455658, 'understanding graphing and relating to real world examples': 0.12147955, 'number sense': 0.17429918, 'asking questions to the class': 0.06650215, 'small group discussion and class review': 0.18072602}","['one hundred equal parts', 'ten equal parts', 'practice subtracting decimals', 'g ., 2', 'g ., 4', 'review decimal basics', 'six hundredths ).', '4 ).', 'represents one', 'represents one']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.016019428, 'operations with whole numbers and basic geometry concepts': 0.17270356, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.03817562, 'understanding fractions, decimals, and operations involving these concepts': 0.10665047, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.37961683, 'solving word problems related to volume': 0.24679393}","['subtract decimals', 'hundredths place', 'students', 'able']","

To accommodate the student's dyslexia while teaching this lesson plan, I suggest providing visual aids and manipulatives to help the student better understand the concepts of subtracting decimals. The student could practice with the visual aids and manipulatives to supplement the lesson and recall the information easier, thus avoiding fatigue and allowing more frequent breaks."
"{'predictable, structured, and consistent learning environment': 0.014937852, 'communication and speech with peers': 0.024445772, 'incorporating accessibility into the learning environment': 0.015068685, 'quiet work environment': 0.010084295, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.21739589, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.0269918, 'breaking assignments up and flexible deadlines': 0.18697451, 'language, vocabulary, and grammar related learning issues': 0.0152228465, 'assignment/testing alternatives and assistance': 0.01976056, 'alternate modalities for syntehesizing reading and writing material': 0.011486921, 'social emotion issues': 0.017934926, 'occupational therapy and fine motor': 0.41419572}","['rest periods', 'flexible schedule', 'therapy', 'student', 'allowing']","{'geometric problem solving': 0.011790908, 'student participation and problem solving': 0.38810155, 'comparing numbers and objects': 0.07641779, 'asking questions to the class': 0.09939672, 'student engagement': 0.011507775, 'basic operations and fact families': 0.26161927, 'measurement': 0.010783665, 'small group discussion and class review': 0.06854992}","['introducing two digit addition', '2 digit addition video', 'students', 'show', 'shake', 'lesson', 'begin']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.011656415, 'operations with whole numbers and basic geometry concepts': 0.29402706, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.17128293, 'understanding fractions, decimals, and operations involving these concepts': 0.23521273, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.24006473, 'solving word problems related to volume': 0.018621214}","['complete two digit addition problems', 'students', 'able']","

To modify the lesson plan for the student with blindness, I would recommend allowing more rest periods, breaking assignments up into smaller components, providing visual aids (such as Braille or other tactile learning materials) to help with concepts, providing a quiet work environment, and incorporating flexibility into the deadlines. This will allow the student to focus on understanding the material while also taking necessary breaks to ensure they are able to concentrate."
"{'predictable, structured, and consistent learning environment': 0.012664001, 'communication and speech with peers': 0.32550684, 'incorporating accessibility into the learning environment': 0.012774985, 'quiet work environment': 0.46577555, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.0187029, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.022873117, 'language, vocabulary, and grammar related learning issues': 0.012905622, 'assignment/testing alternatives and assistance': 0.016752675, 'social emotion issues': 0.015203979, 'occupational therapy and fine motor': 0.05945975}","['free work environment', 'quiet', 'providing', 'distraction']","{'graphing and graph analysis': 0.092547, 'geometric problem solving': 0.014647087, 'student participation and problem solving': 0.4221742, 'comparing numbers and objects': 0.014239037, 'asking questions to the class': 0.04037368, 'student engagement': 0.10262364, 'measurement': 0.013423228, 'small group discussion and class review': 0.21539089}","['tell', 'students', 'students', 'sides', 'shapes', 'shape', 'read', 'number', 'looking', 'group']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.016019339, 'operations with whole numbers and basic geometry concepts': 0.1603521, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.038156975, 'understanding fractions, decimals, and operations involving these concepts': 0.604862, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.11497337, 'solving word problems related to volume': 0.025596326}","['identify different shapes based', 'students', 'sides', 'attributes', 'angles', 'able']","

To modify this lesson plan, I would create a quiet workspace for the student within the classroom. Additionally, I would use visual aids such as graphic organizers and pictures to help the student identify shapes and their attributes. This would help the student stay focused and engage with the lesson material in an accessible way."
"{'predictable, structured, and consistent learning environment': 0.012664041, 'communication and speech with peers': 0.020734334, 'incorporating accessibility into the learning environment': 0.012774913, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.7589591, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.022889988, 'language, vocabulary, and grammar related learning issues': 0.012905648, 'assignment/testing alternatives and assistance': 0.01675258, 'social emotion issues': 0.015205508, 'occupational therapy and fine motor': 0.081184216}","['implementing visual aids', 'vibrating devices', 'important information', 'flashing lights', 'student', 'alert']","{'graphing and graph analysis': 0.03346656, 'geometric problem solving': 0.15587023, 'student participation and problem solving': 0.53789955, 'place value and decimal arithmetic': 0.03408714, 'asking questions to the class': 0.063601844, 'learning subtraction': 0.03196745, 'student engagement': 0.04000862, 'story problems and building physical models to represent': 0.035703156, 'small group discussion and class review': 0.03183156}","['write ⅘ − ⅕', 'whiteboards using whatever method', 'simply subtracting one', 'subtracting fractions', 'problem using', 'unlike denominators', 'tell students', 'subtract fractions', 'students share', 'number line']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.019717518, 'operations with whole numbers and basic geometry concepts': 0.2751553, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.04704152, 'understanding fractions, decimals, and operations involving these concepts': 0.13841172, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.14691502, 'using mathematical rules to solve problems and working with units of measurement': 0.010467177, 'solving word problems related to volume': 0.3234755}","['unlike denominators', 'subtract fractions', 'students', 'able']","

To modify the lesson plan to help this student, I would focus on making sure that important information is conveyed through visual aids along with vibrating devices and flashing lights to alert the student. This could include using a whiteboard and number line to demonstrate subtracting fractions for the students, having manipulatives for them to work with, and having graphic organizers and pictures to better explain the concepts. Additionally, I would encourage group discussion and student participation by having students share their results as well as having the class review the concepts together."
"{'predictable, structured, and consistent learning environment': 0.023331141, 'communication and speech with peers': 0.03815549, 'repeated cues to stay on task': 0.011740092, 'incorporating accessibility into the learning environment': 0.02353561, 'quiet work environment': 0.015750546, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.034456726, 'visual, auditory, kinesthetic learning': 0.010302352, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.042139597, 'breaking assignments up and flexible deadlines': 0.57266647, 'language, vocabulary, and grammar related learning issues': 0.023776283, 'assignment/testing alternatives and assistance': 0.030863788, 'alternate modalities for syntehesizing reading and writing material': 0.017941292, 'social emotion issues': 0.028010594, 'occupational therapy and fine motor': 0.10954388, 'visual cues and experience learning': 0.010067023}","['providing explicit instructions', 'manageable steps', 'tasks', 'step', 'smaller', 'breaking']","{'geometric problem solving': 0.04407927, 'student participation and problem solving': 0.63845384, 'understanding time': 0.0356232, 'understanding graphing and relating to real world examples': 0.07215176, 'measurement and geometry': 0.034514952, 'asking questions to the class': 0.018831283, '': 0.070086025, 'small group discussion and class review': 0.038763378}","['basketball team even though', 'also added context', 'students use interjections', 'basketball team', 'ask students', 'strong feelings', 'strong emotion', 'mom .', 'got sick', 'add interjections']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.019717572, 'operations with whole numbers and basic geometry concepts': 0.58971065, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.046958353, 'understanding fractions, decimals, and operations involving these concepts': 0.12793228, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.13488007, 'using mathematical rules to solve problems and working with units of measurement': 0.010467163, 'solving word problems related to volume': 0.031517714}","['use interjections', 'writing', 'students', 'able']","

To help this student, I would modify the lesson plan by adding a visual aid to explain the use of interjections. Additionally, I would incorporate more visual, auditory, and kinesthetic learning into the lesson plan by breaking down assignments into smaller, more manageable tasks and providing explicit instructions at each step."
"{'predictable, structured, and consistent learning environment': 0.010989308, 'communication and speech with peers': 0.017989404, 'repeated cues to stay on task': 0.13776565, 'incorporating accessibility into the learning environment': 0.011085533, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.016233744, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.1630549, 'language, vocabulary, and grammar related learning issues': 0.1545194, 'assignment/testing alternatives and assistance': 0.014537185, 'social emotion issues': 0.37487966, 'occupational therapy and fine motor': 0.06461907}","['modified math curriculum', 'individual learning style', 'tailored', 'student', 'providing', 'needs']","{'student participation and problem solving': 0.57382506, 'understanding graphing and relating to real world examples': 0.1193941, 'comparing numbers and objects': 0.026151178, 'asking questions to the class': 0.061738715, 'small group discussion and class review': 0.18416296}","['place value throughout today', 'minutes reviewing place value', 'expanded notation means writing', 'understanding place value helpful', 'completing math problems', 'increasingly larger numbers', 'place value', 'place value', 'expanded notation', 'expanded form']","{'operations with whole numbers and basic geometry concepts': 0.17994975, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.16088374, 'understanding fractions, decimals, and operations involving these concepts': 0.08544041, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.49943668, 'developing strategies for counting, order of operations, and grouping items for multiplication': 0.053555496}","['solve multiplication problems involving', 'larger multiplication problem', 'breaking apart strategy', 'breaking apart', 'place value', 'digit numbers', 'answers together', 'use', 'understanding', 'students']","

To modify the lesson plan for the student with dyscalculia, I can create additional visual aids (like manipulatives, pictures, and graphic organizers) that are tailored to this student's individual learning style. Additionally, the lesson plan should provide repeated cues to help the student stay on task and provide accessible content related to the lesson objectives."
"{'communication and speech with peers': 0.42190212, 'repeated cues to stay on task': 0.12170319, 'quiet work environment': 0.12346494, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.014332182, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.017528119, 'assignment/testing alternatives and assistance': 0.012833805, 'social emotion issues': 0.011647916, 'occupational therapy and fine motor': 0.22345793}","['verbal communication', 'communication partner', 'communication device', 'student', 'permitting', 'assist']","{'student participation and problem solving': 0.42782006, 'understanding graphing and relating to real world examples': 0.052343044, 'measurement and geometry': 0.09038065, 'asking questions to the class': 0.19169287, 'small group discussion and class review': 0.15824348}","['many students think', 'draw 10 apples', 'two friends', 'solicit ideas', 'odd number', 'odd number', 'share ?', 'apples', 'apples', 'share']","{'read and interpret data represented in different forms, such as bar graphs, line graphs, or number lines': 0.019659018, 'operations with whole numbers and basic geometry concepts': 0.22926609, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.046873834, 'understanding fractions, decimals, and operations involving these concepts': 0.1333859, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.49025947, 'using mathematical rules to solve problems and working with units of measurement': 0.01043612, 'solving word problems related to volume': 0.031418495}","['odd numbers', 'students', 'even', 'articulate', 'able']","

To modify the lesson plan to better accommodate the student's needs, I suggest providing verbal communication strategies to the student, such as using gestures, facial expressions, and communication devices to facilitate social interactions. Additionally, assign more individualized tasks to the student, rather than group activities, to reduce distractions and difficulties with peer-to-peer interactions."
"{'predictable, structured, and consistent learning environment': 0.032435585, 'communication and speech with peers': 0.053126946, 'repeated cues to stay on task': 0.01632121, 'incorporating accessibility into the learning environment': 0.032719478, 'quiet work environment': 0.02189659, 'student anxiety and quiet work environment': 0.010731148, 'attention related issues like fidgeting, scheduling, and need for visual aids': 0.047920804, 'visual, auditory, kinesthetic learning': 0.014322448, 'use of visual aids, manipulatives, graphic organizers, and pictures': 0.058638662, 'breaking assignments up and flexible deadlines': 0.0154275065, 'language, vocabulary, and grammar related learning issues': 0.033054385, 'assignment/testing alternatives and assistance': 0.04290722, 'alternate modalities for syntehesizing reading and writing material': 0.024942195, 'social emotion issues': 0.03894597, 'occupational therapy and fine motor': 0.5426146, 'visual cues and experience learning': 0.013995291}","['record lectures', 'student', 'allowing']","{'student participation and problem solving': 0.32939732, 'understanding graphing and relating to real world examples': 0.2739796, 'number sense': 0.102462135, 'asking questions to the class': 0.07662228, 'small group discussion and class review': 0.14466237}","['two separate piles', 'ordering numbers', 'largest numbers', '8 pennies', '2 pennies', 'last number', 'larger number', 'count onto', 'number', 'count']","{'operations with whole numbers and basic geometry concepts': 0.05667286, 'applying mathematical concepts to real-world scenarios and using equations, arrays, and graphs, to solve complex problems': 0.015245201, 'understanding fractions, decimals, and operations involving these concepts': 0.40113518, 'number sense, understanding of mathematical expressions, and recognizing patterns in numbers': 0.49429208, 'solving word problems related to volume': 0.010234666}","['largest amount', 'larger number', 'count pennies', 'total', 'students', 'students', 'recognizing', 'quantity', 'order', 'group']","

To better accommodate the student with special learning disorder in this lesson plan, I would modify it by adding more visual cues and experience learning activities. For instance, instead of just writing out the numbers and counting pennies, use a manipulative or hands-on activity to help the student understand the concepts by using titles, pictures, clipart, etc. Additionally, present the material in a way that is predictable, structured, and consistent, while incorporating accessibility into the learning environment and providing the student with repeated cues to stay on task."
