subject,min_grade,max_grade,overview,objectives_outcomes,comment
Reading & Writing,K,K,"Prior to beginning the lesson, make die cut lowercase letters and glue them to squares of construction paper. You can also write different letters on index cards. It's important that there is one card for each student. If your class has less than 26 people, combine multiple letters on to a sheet of construction paper. The letters that are combined should be in alphabetical order. For example, x, y, z could be on the same sheet of paper.
Tell your class that they will play a game that will help them review letters of the alphabet.",Students will be able to identify lowercase letters of the alphabet.,die cut' doesn't make sense
Social Studies,K,1,"Pretend to be a parent in a house.
Go to various students, and fulfill each need everyone has. For example, go to some students and pretend to feed them with a spoon. Move to others, and pretend to wash their clothes and hang them outside to dry. Pretend it is beginning to rain, and come back inside and put the clothes on other students.
Throughout this pretend play, speak aloud to let the students know what is happening.","Students will be able to define and distinguish needs and wants. Students will be able to examine why people need shelter, clothes, water, and food to live.",
Social Studies,K,1,"Ask students what they think it means to be a good citizen.
Ask them for examples on how to be a good citizen.","Students will be able to understand what makes a good citizen, why we have rules, and why we need to follow authority.",
Science,K,K,"Gather your students somewhere where they can all see you.
Tell your students that you are sad because a glass of water fell on your favorite shirt.
Pull the wet shirt out of your bag and show it to them.
Pretend to be upset about the shirt being ruined.
Tell your students that you will have to throw it away.
Give your students time to object, hopefully someone will suggest that the shirt will dry.
Ask your students what it means for something to dry.
Ask your students where the water goes when something is drying.
Tell your students that they will be learning about where water goes in the water cycle.",Students will be able to explain the water cycle.,
Reading & Writing,K,K,"Review **short vowel **sounds by watching the 'Short Vowels' music video (see link in Related books and/or media section).
Write each vowel on the whiteboard or chart paper and go over each sound individually. Remind students that vowels each make two sounds and tell them that today you will be focusing on the short vowel sounds.",Students will be able to identify and spell words in the -and family.,
Science,K,1,"Ask the class if they are living or nonliving.
Ask students if their pets at home are living or nonliving.
Ask students to identify what they need to survive. Write 'food,' 'water,' 'shelter,' and 'air' on the board.
Explain to students that today they will be learning about living and nonliving things.",Students will be able to ask and answer questions about living and nonliving things to clarify their thinking and classifications.,
Science,K,1,"Tell the students you are going to listen to a song to help them review their body parts.
Play the Body Parts Song for Kids video. Repeat the video if needed.",Students will be able to identify some common body parts.,
Social Emotional,K,1,"Gather students into a circle either seated in chairs or on the floor.
Remind students of the raised attention signal and the talking piece from prevous lessons (Raised attention signal: Explain to students that when they see you raise your hand it’s a signal to stop whatever they are doing, raise their hand in the air and quietly look and listen to you. Talking Piece: Explain that when they gather in a circle to learn and discuss important things, they will use a talking piece. Whoever has the talking piece can speak, and they do this to make sure they don’t talk over anyone and listen to the person who is sharing).
Welcoming: Circle time always begins with everyone being welcomed into the circle. Model welcoming a student and then have each student welcome the student sitting next to them. Be sure to rotate who sits where so students introduce different classmates. Example: “Hello Jasmine, welcome to our circle!”
Optional: Create a new greeting every week. For example, using a small ball or bean bag, have students toss the object to each other once they greet another student, then the student with the object greets the next student, etc.
Once every student has been welcomed retrieve the talking piece.
Share that today they will be learning about a fun way to calm themselves and get present using something called 'animal breaths.'","Students will have fun, calm themselves down, and settle into the present moment through a fun activity called 'animal breaths.'",
Math,K,K,"Gather students together and tell them that today they're going to learn about counting.
Show students the number cards and the objects they will use to count.",Students will be able to understand the math concept that a given number of objects can be assigned only one number.Students will be able to understand the math concept that a given number of objects can be assigned only one number.,
Reading & Writing,K,K,"Gather the students into a group.
Tell the students that you are thinking of some mystery words. Invite them to guess the words with the following prompts: something that shines in the sky: sun, something that slithers on the ground: snake, something you do in a chair: sit, another name for the ocean: sea, something we put on our feet: socks or shoes.
Ask the students to name the letter that all the words began with.
Tell the students that they will be focusing on the letter S and rhyming words with a silly poem. Invite the children to guess which S-word the poem may be about.","Students will be able to write the letter S, identify rhyming words, and describe what makes a poem a poem.",
Reading & Writing,K,K,"Tell students that today they will be reviewing uppercase and lowercase letters.
Show students the paper fish and plastic cup fishbowls.
Point out that each fish has an uppercase letter printed on it, and each 'fishbowl' has a lowercase letter printed on it.
Tell students they will be taking turns using the fishing pole to catch uppercase fish, and then matching the letter on the fish to the correct fishbowl.",Students will be able to match uppercase and lowercase letters.,
Fine Arts,K,K,"Gather your students into a large circle. In the center, put objects with single, bold primary colors. Great examples include blocks, play food, and toys.
Lead the class in a 'settle down' technique to help calm your students down. Stretching, chanting, or singing a song are great strategies for this. An option for a chant is this verse about hands: 'Open, shut them, squeeze them oh-so-tight, clap up, clap down, fingers tap-tap-tap, now rest them in your lap.'","After this lesson and reinforcing follow-up, the children will be able to identify and name objects by way of their color name.",
Reading & Writing,K,K,"Invite your students to think about something that they like in the classroom.
Give an example of something you like to kickstart their participation. For example, say, 'I like books.' or 'I like markers.'
Ask your students to name two or three things that they like to their neighbor. Encourage them to use full sentences.
Have them think about a word that they used in every one of those sentences (like).
Tell your students that they will be focusing on the word like today. Remind them that common words that they should memorize by sight, or sight words, such as like, can help their reading fluency.",Students will be able to read and write the word *like *after finishing this lesson.,
Reading & Writing,K,K,"Write ‘tog’ on the board. Ask for a volunteer to read the word.
Ask, “Does that sound right? Is ‘tog’ a real word?”
Introduce the term ‘nonsense’. Say, “Nonsense words are silly, make-believe words that we sometimes use to practice sounding out. When we know all the sounds that letters make, nonsense words are easier to read.”",Students will be able to build and distinguish between real and nonsense CVC words.,
Reading & Writing,K,K,"Tell your students that you are thinking of a mystery letter.
Invite them to guess the letter with the following prompts: Something to chop wood (ax), a big green reptile (alligator), something to hold a boat still (anchor), a delicious fruit (apple), and a tiny insect (ant).
Ask the students to name the letter that all the words begin with.
Play The A Song.
Tell the students that today they will be focusing on recognizing upper and lowercase A.",Students will be able to recognize uppercase and lowercase A.,
Reading & Writing,K,K,"Begin the lesson with an introduction to letters. With the class, discuss questions such as: Where have you seen letters in your community, at home, and in our classroom? What is different about some of the letters you have seen?
Let students know that they'll be learning about uppercase and lowercase letters using a mix-up sheet and beach balls.",Students will recognize and recall uppercase and lowercase letters.Students will recognize and recall uppercase and lowercase letters.,
Reading & Writing,K,1,"Gather the students.
Load the interactive story. Choose the “READ BY MYSELF” option.
Pause the story on the front cover and invite the students to describe where the house is, who is by the house and what the bears and little girl are doing.
Focus the lesson by saying, “You just described the setting, characters and an event in this story! Every good story needs these things!”","The students will be able to identify the setting, characters and events in a short story.",
Reading & Writing,K,K,"Gather the students.
Display the title page of 'The Ugly Duckling' interactive story.
As you display the cover of the story say, 'This is the story of 'The Speedy Worm.''
Wait for the students to object, then say, 'Oh, you're right! This is the story of 'The Angry Goldfish!''
Wait for the students to correct you. Ask the students to explain how they knew the story was about 'The Ugly Duckling.'
Let students know that today, they'll be using pictures and words to put this story in order.",Students will be able to retell stories by properly sequencing text and images.,
Reading & Writing,K,K,"Gather students at large group area and whisper that we are going to practice opposites.
Shout that this will be a fun activity that they can complete however they choose.
Lead students in choral demonstration of opposites. Say, 'Everybody point up. Now point down. Let's all whisper, 'opposites.' Now let's shout, 'opposites!''
Ask a student or a pair of students to point out opposite concepts in the room or demonstrate them, e.g. by sitting on top of a table then sitting under the table.",Students will be able to describe or demonstrate the meaning of common prepositional opposites. Students will contribute to group writing projects.,
Reading & Writing,K,1,"Invite students to a common place in the room and ask them to think about sharks. Then, have them turn and talk to a partner about what they think about sharks. Call on volunteers to share what they discussed with their partner.
Display images of various sharks on the internet and point out similarities and differences between them.
Read aloud a student-friendly learning objective, and tell the class that they'll be learning about sharks today so they can answer questions about them.",Students will be able to gather information from provided sources to answer a question.Students will be able to gather information from provided sources to answer a question.,
Reading & Writing,K,K,"Gather your students where they can easily see you.
Show the front cover of I Was So Mad by Mercer Mayer.
Tell the students to guess the sight word of the day by the way you read the story.
Stand up and point at the word 'was' whenever it comes up in the text.
Ask your students to name the target word.",Students will be able to read and write the word 'was.',
Reading & Writing,K,K,"Introduce the lesson with a warm-up of pictures that rhyme with -at.
Invite the students to name the words and to stand up if the words sound like cat.
Tell the students that they will be working on creating their own sets of rhyming words that belong in the same family.","Students will be able to recognize words that rhyme with -at words. Students will be able to create words that are in the same -at word family. Students will be able to differentiate between words that are in different word families, such as the difference between -at words and -an words.",
Math,K,K,"Introduce the concept of earthworms to your students. Allow them to ask questions about earthworms, such as where they live.
Show your students real worms and artificial, or fake, worms. For this lesson, you can describe real worms as ones that are living or have been alive in the past.
Help them describe the differences between a real and artificial worm. Write their answers on the board, if desired. For example, possible answers include: 'Real worms are slimy. Real worms move. Artificial worms do not move.'
Using rulers, show your students that they can use this tool to measure, or determine the length of something. Show them the inch numbers on the ruler, explaining that one way to measure is with inches.","Students will describe the differences between real and artificial worms.
Students will measure the worms and compare their lengths.Students will describe the differences between real and artificial worms.Students will measure the worms and compare their lengths.",
Math,K,K,"Gather the students where they can see the interactive whiteboard.
Load the Ice Cream Addition Song.
Watch the song two times while encouraging your students to sing along.
Explain to your students that they will be adding numbers to five with pretend ice cream cones.",Students will be able to add numbers to five.,
Reading & Writing,K,K,"Sing the alphabet to practice letters, or play a game to identify letters around the room.
After singing the song, tell the students that they will be learning how to create different words that are in the -op word family.",Students will be able to replace letters at the beginning of one-syllable words to create new words that are a part of the -op word family. Students will be able to blend individual sounds to produce words that are in the -op word family.,
Math,K,K,Tell your students that they will be counting from one to ten using fish snack crackers and ten to one hundred using fish flash cards.,Students will be able to count to 100 by ones and by tens.,
Math,K,K,"Tell your students to stand up if they have brown hair.
Tell your students to stand up if they have blue eyes.
Ask your students to think of another category.
Tell your students that categories are ways of sorting things.
Gather your students where they can see the interactive whiteboard.
Play the Shapes Song video.
Tell your students that they will be learning to categorize and graph shapes.",Students will be able to count and classify shapes into categories.,
Reading & Writing,K,K,"Sing a song about colors to remind your students of the names they will be using in this activity, alternatively, have your students watch a video that reviews the names of color.
Show students the materials they will be using today.
If you are using a theme, review a little about it now.",Students will be able to identify and name the colors.,
Reading & Writing,K,K,"Start the lesson by asking students about their favorite books. Potential questions include: What's the name, or title of the book? Who is the author, or person who wrote the book? What does the book look like?
Show your students any book, and point to the large name on the front cover, or the outside front part of the book. Explain that this is the title. Point to the author of the book.
Explain that there is much more information in a book than just the title and the author.
Show your students the name of the illustrator, the person who draws pictures for the book.
Look at the side of the book, or the spine, to show your students that they can identify the title and author of a book from the side.
Show them the back cover of the book, and let them point out what they see. Generally, the back cover includes information about the book and author.
Open the book to show the title page, explaining that this is a page inside the book that says the book title and author.",Students will demonstrate understanding of the parts and organization of a book.,
Reading & Writing,K,K,"Tell the students you are thinking of some mystery words.
Invite the students to raise their hands if they can think of the words when you pose the following clues: an animal that says “meow” (cat), an animal that flies at night (bat), a rug to wipe your feet on (mat), an animal that eats cheese (rat), and something you wear on your head (hat).
Ask your students to think of some more words that end with the letters -at.
Load the first '-at song' link on your interactive whiteboard. Encourage your students to stand and move to the music.
Load the second '-at song' link and repeat above.",Student will be able to read and write words in the -at family.,
Math,K,K,"Introduce the students to similarities by displaying the 3-Dimensional Shapes worksheet on the board.
Ask the students to find two objects that are alike and point to them.
Have the students take turns pointing to objects that are similar.
Using the objects on the page, explain that 3D shapes are not flat and have a special form and that these objects are examples of 3D shapes.
Next, tell the students that they will be looking at how 2D, or flat, shapes are similar and different from 3D shapes.
Explain to your students that sometimes they can find flat 2D shapes on 3D shapes.","Students will relate 2D shapes to 3D shapes, while understanding differences between the types of shapes. Students will name 3D shapes such as cubes, cones, cylinders, and spheres. Students will sort 2D shapes from 3D shapes.",
Math,K,K,"Ask your students to name shapes that they know.
As your students name the shapes, draw a picture of the shapes on the board.
Next, tell your students that they will be working on creating and combining shapes.
Tell your students that combining shapes means that they will be putting shapes together to form new shapes.",Students will be able to construct triangles and squares using toothpicks and balls of clay. Students will be able to combine triangles and squares to form new shapes. Students will be able to recognize how smaller shapes can be used to form larger shapes.,
Reading & Writing,K,1,"Begin the lesson by discussing stories. Potential questions include: Have you ever heard of a story with talking animals and humans? What stories have you heard that has bears? How did the story begin?
Explain to your class that they will be listening to Goldilocks and the Three Bears. Remind them to remember details from the story.",Students will reflect on prior information and details from Goldilocks and the Three Bears. Students will recall and comprehend key details and the story message.Goldilocks and the Three Bears,
Reading & Writing,K,K,"Use a song or rhyme to gather children at your group area.
Tell students that today they're going to make rhymes with word pairs.
Let students know that today they will be practicing rhymes with a book.",Students will be able to recognize and produce simple rhymes.,
